"id","carb_id","name_th","name_en","carbohydrate","fiber","weight","weightUnit","source","type","imageUrl","note"
"1","1","ข้าวสวย/ข้าวกล้อง","ข้าวสวย/ข้าวกล้อง","18","0","55","กรัม","1","1","","1คาร์บ=1ทัพพี (55กรัม)"
"2","2","ข้าวเหนียว","ข้าวเหนียว","18","0","35","กรัม","1","1","","1คาร์บ=½ทัพพี (35กรัม)"
"3","3","ข้าวต้ม","ข้าวต้ม","18","0","150","กรัม","1","1","","1คาร์บ=2ทัพพี (150 - 170กรัม)"
"4","4","บะหมี่ (สุก)","บะหมี่ (สุก)","18","0","40","กรัม","1","1","","1คาร์บ=1ทัพพี (40 - 50กรัม)"
"5","5","เส้นหมี่ขาว (ลวก)","เส้นหมี่ขาว (ลวก)","18","0","70","กรัม","1","1","","1คาร์บ=1ทัพพี (70กรัม)"
"6","6","ก๋วยเตี๋ยวเส้นเล็ก (ลวก)","ก๋วยเตี๋ยวเส้นเล็ก (ลวก)","18","0","70","กรัม","1","1","","1คาร์บ=1ทัพพี (70กรัม)"
"7","7","เส้นใหญ่ (ลวก)","เส้นใหญ่ (ลวก)","18","0","60","กรัม","1","1","","1คาร์บ=1ทัพพี (60 - 70กรัม)"
"8","8","ขนมจีน","ขนมจีน","18","0","75","กรัม","1","1","","1คาร์บ=1 จับใหญ่ (75กรัม)"
"9","9","วุ้นเส้น (ลวก)","วุ้นเส้น (ลวก)","18","0","80","กรัม","1","1","","1คาร์บ=1ทัพพี (80กรัม)"
"10","10","มักกะโรนี","มักกะโรนี","18","0","70","กรัม","1","1","","1คาร์บ=1ทัพพี (70กรัม)"
"11","11","โจ๊ก","โจ๊ก","18","0","135","กรัม","1","1","","1คาร์บ=2ทัพพี (135กรัม)"
"12","12","มุสลี","มุสลี","18","0","4","ช้อนโต๊ะ","1","1","","1คาร์บ=4 ช้อนโต๊ะ (-กรัม)"
"13","13","ข้าวโพด (สุก)","ข้าวโพด (สุก)","18","0","65","กรัม","1","1","","1คาร์บ=½ ฝักกลาง (65กรัม)"
"14","14","ขนมปังแผ่น","ขนมปังแผ่น","18","0","25","กรัม","1","1","","1คาร์บ=1 แผ่น (25กรัม)"
"15","15","ขนมปังแฮมเบอเกอร์/ฮอทด็อก","ขนมปังแฮมเบอเกอร์/ฮอทด็อก","18","0","0.5","คู่","1","1","","1คาร์บ=½ คู่ (-กรัม)"
"16","16","แป้งโรตีปาแย","แป้งโรตีปาแย","18","0","40","กรัม","1","1","","1คาร์บ=1 แผ่นเล็ก (40กรัม)"
"17","17","ขนมปัง (ดินเนอร์โรล)","ขนมปัง (ดินเนอร์โรล)","18","0","1","ก้อน","1","1","","1คาร์บ=1 ก้อน (-กรัม)"
"18","18","แป้งปอเปี๊ยะ","แป้งปอเปี๊ยะ","18","0","30","กรัม","1","1","","1คาร์บ=1 แผ่น (30กรัม)"
"19","19","แป้งเกี๊ยว","แป้งเกี๊ยว","18","0","30","กรัม","1","1","","1คาร์บ=4 แผ่น (30กรัม)"
"20","20","ขนมปังกรอบรูปสัตว์","ขนมปังกรอบรูปสัตว์","18","0","25","กรัม","1","1","","1คาร์บ=8 ชิ้น (25กรัม)"
"21","21","ขนมปังกรอบใส่สลัด","ขนมปังกรอบใส่สลัด","18","0","25","กรัม","1","1","","1คาร์บ=1ถ้วยตวง (25กรัม)"
