"id","exercise_type_id","name_th","name_en","k_cal"
"1","1","เดินปกติ","เดินปกติ","2"
"2","1","เดินเร็ว","เดินเร็ว","4.3"
"3","1","เดินเร็วมากที่สุด","เดินเร็วมากที่สุด","8.3"
"4","1","เดินลงบันได","เดินลงบันได","3.5"
"5","1","เดินขึ้นบันได","เดินขึ้นบันได","4"
"6","1","เดินยกของขึ้นบันได","เดินยกของขึ้นบันได","8.3"
"7","1","เดินป่า","เดินป่า","7.8"
"8","1","เดินขึ้นเนิน","เดินขึ้นเนิน","6.3"
"9","1","เดินเข็นรถเข็นเด็ก","เดินเข็นรถเข็นเด็ก","4"
"10","1","เดินถอยหลัง","เดินถอยหลัง","6"
"11","2","วิ่งจ็อกกิ้ง","วิ่งจ็อกกิ้ง","6"
"12","2","วิ่ง","วิ่ง","11"
"13","2","วิ่งเร็ว","วิ่งเร็ว","16"
"14","2","วิ่งขึ้นบันได","วิ่งขึ้นบันได","15"
"15","2","วิ่งมาราธอน","วิ่งมาราธอน","13.3"
"16","3","ขี่จักรยานเล่น (แบบช้าๆ)","ขี่จักรยานเล่น (แบบช้าๆ)","4"
"17","3","ขี่จักรยานออกกำลังกาย (แบบรีบเร่ง)","ขี่จักรยานออกกำลังกาย (แบบรีบเร่ง)","8"
"18","3","ขี่จักรยานเพื่อการแข่งขัน (แบบเร็วมาก)","ขี่จักรยานเพื่อการแข่งขัน (แบบเร็วมาก)","16"
"19","3","ขี่จักรยานขึ้นเขา (มีแรงต้านทานมาก)","ขี่จักรยานขึ้นเขา (มีแรงต้านทานมาก)","14"
"20","4","ขับรถบรรทุก รถแทร็คเตอร์ รถบัส","ขับรถบรรทุก รถแทร็คเตอร์ รถบัส","2.5"
"21","4","ขับรถยนต์","ขับรถยนต์","1.3"
"22","4","ขับเครื่องบิน","ขับเครื่องบิน","1.8"
"23","4","ขี่มอเตอร์ไซค์","ขี่มอเตอร์ไซค์","3.5"
"24","5","กวาดบ้าน/ ถูบ้าน","กวาดบ้าน/ ถูบ้าน","2.3"
"25","5","ทำกับข้าว","ทำกับข้าว","3.3"
"26","5","ล้างจาน เก็บจาน","ล้างจาน เก็บจาน","2.5"
"27","5","รีดผ้า","รีดผ้า","1.8"
"28","5","ล้าง ทำความสะอาดห้องน้ำ","ล้าง ทำความสะอาดห้องน้ำ","2"
"29","5","รดน้ำต้นไม้","รดน้ำต้นไม้","2.5"
"30","5","เดิน/วิ่งเล่นกับเด็ก","เดิน/วิ่งเล่นกับเด็ก","3.5"
"31","5","อุ้มเด็กเล็ก","อุ้มเด็กเล็ก","2"
"32","5","เดิน/วิ่งเล่นกับสัตว์เลี้ยง","เดิน/วิ่งเล่นกับสัตว์เลี้ยง","3"
"33","5","ดูแลผู้สูงอายุ/คนพิการ (อาบน้ำ/ แต่งตัว /เคลื่อนย้ายจากเตียง)","ดูแลผู้สูงอายุ/คนพิการ (อาบน้ำ/ แต่งตัว /เคลื่อนย้ายจากเตียง)","4"
"34","5","งานช่างไม้","งานช่างไม้","3.8"
"35","5","ทาสี","ทาสี","3.3"
"36","5","ล้างรถ","ล้างรถ","2"
"37","5","ตัดหญ้า","ตัดหญ้า","5.5"
"38","5","รดน้ำต้นไม้","รดน้ำต้นไม้","2.5"
"39","5","ปลูกต้นไม้","ปลูกต้นไม้","4.5"
"40","5","เก็บผัก-ผลไม้","เก็บผัก-ผลไม้","3.5"
"41","6","นอนหลับ","นอนหลับ","0.95"
"42","6","ดูโทรทัศน์","ดูโทรทัศน์","1"
"43","6","นั่งเฉยๆ / ฟังเพลง / อ่านหนังสือ","นั่งเฉยๆ / ฟังเพลง / อ่านหนังสือ","1.3"
"44","6","ยืนเฉยๆ","ยืนเฉยๆ","1.3"
"45","6","เล่นเกมส์คอมพิวเตอร์","เล่นเกมส์คอมพิวเตอร์","1"
"46","6","เล่นวีดีโอเกมส์ มีการขยับ(Wii fit)","เล่นวีดีโอเกมส์ มีการขยับ(Wii fit)","2.3"
"47","6","ทำงานศิลปะ / งานฝีมือ","ทำงานศิลปะ / งานฝีมือ","2.5"
"48","6","เดินช้อปปิ้งโดยใช้รถเข็น","เดินช้อปปิ้งโดยใช้รถเข็น","2.3"
"49","6","เต้นบัลเลต์ โมเดิร์น แจ๊ส","เต้นบัลเลต์ โมเดิร์น แจ๊ส","5"
"50","6","เต้นแอโรบิค","เต้นแอโรบิค","7.3"
"51","7","มีเซ็กส์","มีเซ็กส์","1.8"
"52","8","แบดมินตั้น แข่งขัน","แบดมินตั้น แข่งขัน","7"
"53","8","แบดมินตั้น ออกกำลังกาย","แบดมินตั้น ออกกำลังกาย","5.5"
"54","8","เล่นบาสเก็ตบอล","เล่นบาสเก็ตบอล","6.5"
"55","8","ชู๊ทบาส","ชู๊ทบาส","4.5"
"56","8","นั่งรถเข็น เล่นบาสเก็ตบอล","นั่งรถเข็น เล่นบาสเก็ตบอล","7.8"
"57","8","บิลเลียด","บิลเลียด","2.5"
"58","8","โบว์ลิ่ง","โบว์ลิ่ง","3"
"59","8","ต่อยมวย ชกกระสอบทราย","ต่อยมวย ชกกระสอบทราย","5.5"
"60","8","ยิมนาสติก เชียร์ลีดเดอร์","ยิมนาสติก เชียร์ลีดเดอร์","6"
"61","8","ฟันดาบ","ฟันดาบ","6"
"62","8","จานร่อน","จานร่อน","3"
