"id","user_profile_id","date","weight","height","created_at","updated_at"
"1","3","10/9/2020","12.5","89","10/9/2020 02:56:41","10/9/2020 02:56:41"
"2","1","16/9/2020","18","90","16/9/2020 07:48:29","16/9/2020 07:48:29"
"3","4","14/6/2021","28","140","5/4/2021 16:43:36","14/6/2021 15:15:47"
"4","5","3/9/2021","20","100","3/9/2021 16:48:29","3/9/2021 16:48:29"
"5","6","1/1/2513","1","1","20/10/2021 17:47:05","20/10/2021 17:47:05"
"6","7","1/1/1970","63","171","22/10/2021 21:06:10","22/10/2021 21:06:10"
"7","8","2/11/2021","20","120","2/11/2021 13:34:55","2/11/2021 13:34:55"
"8","9","10/1/2023","1234","80","4/11/2021 12:21:23","10/1/2023 16:27:04"
"9","10","4/11/2021","1","13","4/11/2021 13:29:16","4/11/2021 13:29:16"
"10","11","9/11/2021","15","120","9/11/2021 21:29:23","9/11/2021 21:29:23"
"11","12","11/11/2021","24.5","122.1","11/11/2021 08:56:12","11/11/2021 08:56:12"
"12","13","16/11/2021","29","120","12/11/2021 08:56:56","16/11/2021 15:54:18"
"13","14","12/11/2021","45","163","12/11/2021 17:52:26","12/11/2021 17:52:26"
"14","15","12/11/2021","162","52","12/11/2021 18:27:20","12/11/2021 18:27:20"
"15","16","16/11/2021","25","100","16/11/2021 16:18:26","16/11/2021 16:18:26"
"16","17","25/11/2021","35","135","17/11/2021 03:08:26","25/11/2021 13:31:02"
"17","18","17/11/2021","50","160","17/11/2021 08:56:40","17/11/2021 08:56:40"
"18","19","19/11/2021","75","168","19/11/2021 06:46:12","19/11/2021 06:46:12"
"19","20","23/11/2021","30","129.2","21/11/2021 23:44:50","23/11/2021 02:52:29"
"20","21","23/11/2021","5","55","23/11/2021 08:29:42","23/11/2021 08:29:42"
"21","22","23/11/2021","23","123","23/11/2021 11:55:29","23/11/2021 11:55:29"
"22","23","23/11/2021","20","100","23/11/2021 18:03:54","23/11/2021 18:03:54"
"23","24","24/11/2021","5","60","24/11/2021 10:09:15","24/11/2021 10:09:15"
"24","25","24/11/2021","5","60","24/11/2021 11:21:38","24/11/2021 11:21:38"
"25","26","24/11/2021","46","157","24/11/2021 16:33:05","24/11/2021 16:33:05"
"26","27","24/11/2021","52","161","24/11/2021 19:20:21","24/11/2021 19:20:21"
"27","28","24/11/2021","58","160","24/11/2021 19:38:10","24/11/2021 19:38:10"
"28","29","25/11/2021","63","180","25/11/2021 09:26:21","25/11/2021 09:26:21"
"29","30","25/11/2021","25","120","25/11/2021 14:22:08","25/11/2021 14:22:08"
"30","31","25/11/2021","20","115","25/11/2021 14:29:38","25/11/2021 14:29:38"
"31","32","25/11/2021","25","120","25/11/2021 14:36:10","25/11/2021 14:36:10"
"32","33","25/11/2021","35","136","25/11/2021 14:57:03","25/11/2021 14:57:03"
"33","34","25/11/2021","25","120","25/11/2021 15:22:39","25/11/2021 15:22:39"
"34","35","26/11/2021","20","100","25/11/2021 15:26:00","26/11/2021 11:07:46"
"35","36","29/11/2021","1","1","29/11/2021 15:07:46","29/11/2021 15:07:46"
"36","37","3/8/2022","38","142","30/11/2021 05:32:46","3/8/2022 12:41:30"
"37","38","2/12/2021","45","158","2/12/2021 14:34:25","2/12/2021 14:34:25"
"38","39","2/12/2021","55","160","2/12/2021 14:34:56","2/12/2021 14:34:56"
"39","40","2/12/2021","46","150","2/12/2021 14:35:51","2/12/2021 14:35:51"
"40","41","2/12/2021","57","169","2/12/2021 14:36:37","2/12/2021 14:36:37"
"41","42","2/12/2021","45","150","2/12/2021 14:36:38","2/12/2021 14:36:38"
"42","43","2/12/2021","60","155","2/12/2021 14:36:47","2/12/2021 14:36:47"
"43","44","2/12/2021","78","177","2/12/2021 14:36:48","2/12/2021 14:36:48"
"44","45","2/12/2021","85","140","2/12/2021 14:37:23","2/12/2021 14:37:23"
"45","46","2/12/2021","58","158","2/12/2021 14:38:30","2/12/2021 14:38:30"
"46","47","2/12/2021","52","153","2/12/2021 14:38:36","2/12/2021 14:38:36"
"47","48","2/12/2021","55","160","2/12/2021 14:39:04","2/12/2021 14:39:04"
"48","49","2/12/2021","53","155","2/12/2021 14:39:29","2/12/2021 14:39:29"
"49","50","2/12/2021","46","154","2/12/2021 15:18:46","2/12/2021 15:18:46"
"50","51","2/12/2021","61","168","2/12/2021 16:10:23","2/12/2021 16:10:23"
"51","52","3/12/2021","82","177","3/12/2021 10:33:16","3/12/2021 10:33:16"
"52","53","4/12/2021","73","167","4/12/2021 06:38:40","4/12/2021 06:38:40"
"53","54","13/12/2021","171","90","13/12/2021 11:09:54","13/12/2021 11:09:54"
"54","55","15/12/2021","40","155","15/12/2021 22:00:15","15/12/2021 22:00:15"
"55","56","16/12/2021","68","159","16/12/2021 23:14:06","16/12/2021 23:14:06"
"56","57","17/12/2021","84","173","17/12/2021 13:47:38","17/12/2021 13:47:38"
"57","58","17/12/2021","57","160","17/12/2021 15:10:35","17/12/2021 15:10:35"
"58","59","17/12/2021","46","155","17/12/2021 15:15:37","17/12/2021 15:15:37"
"59","60","18/12/2021","49","154","18/12/2021 22:48:27","18/12/2021 22:48:27"
"60","61","20/12/2021","53","159","20/12/2021 11:53:27","20/12/2021 11:53:27"
"61","62","20/12/2021","52","165","20/12/2021 11:53:46","20/12/2021 11:53:46"
"62","63","20/12/2021","24","129.5","20/12/2021 12:00:24","20/12/2021 12:00:24"
"63","64","20/12/2021","65","155","20/12/2021 23:16:57","20/12/2021 23:16:57"
"64","65","24/12/2021","50","151","24/12/2021 12:27:15","24/12/2021 12:27:15"
"65","66","25/12/2021","51","168","25/12/2021 07:38:56","25/12/2021 07:38:56"
"66","67","28/12/2021","97","171","28/12/2021 01:34:25","28/12/2021 01:34:25"
"67","68","29/12/2021","26.6","129","29/12/2021 17:23:40","29/12/2021 17:31:34"
"68","69","29/12/2021","48","158","29/12/2021 20:25:53","29/12/2021 20:25:53"
"69","70","2/1/2022","28","143","2/1/2022 20:54:58","2/1/2022 20:54:58"
"70","71","5/1/2022","160","53","5/1/2022 21:54:32","5/1/2022 21:54:32"
"71","72","6/1/2022","163","50","6/1/2022 09:26:50","6/1/2022 09:26:50"
"72","73","7/1/2022","66","166","6/1/2022 10:47:32","7/1/2022 00:57:33"
"73","74","8/1/2022","120","40","8/1/2022 00:12:00","8/1/2022 00:12:00"
"74","75","20/2/2022","160","60","8/1/2022 00:13:35","20/2/2022 22:45:51"
"75","76","17/1/2022","70","170","8/1/2022 18:28:08","17/1/2022 12:30:21"
